Wavelength,Responsivity
636.95,0.0
637.1,0.0
637.25,1e-06
637.4,2e-06
637.55,3e-06
637.7,5e-06
637.85,8e-06
638.0,1.1e-05
638.15,1.5e-05
638.3,2.1e-05
638.45,2.9e-05
638.6,3.8e-05
638.75,5.1e-05
638.9,6.8e-05
639.05,8.8e-05
639.2,0.000115
639.35,0.000147
639.5,0.000186
639.65,0.000225
639.8,0.000275
639.95,0.000331
640.1,0.000411
640.25,0.000493
640.4,0.000607
640.55,0.000818
640.7,0.00122
640.85,0.00174
641.0,0.00238
641.15,0.00335
641.3,0.00475
641.45,0.00672
641.6,0.0095
641.75,0.01341
641.9,0.01893
642.05,0.0265
642.2,0.036885
642.35,0.05067
642.5,0.06892
642.65,0.09225
642.8,0.12139
642.95,0.15717
643.1,0.19932
643.25,0.24836
643.4,0.30265
643.55,0.36184
643.7,0.42373
643.85,0.48675
644.0,0.54923
644.15,0.60896
644.3,0.66456
644.45,0.71677
644.6,0.76273
644.75,0.80303
644.9,0.83716
645.05,0.86584
645.2,0.88971
645.35,0.90941
645.5,0.92498
645.65,0.93768
645.8,0.94753
645.95,0.95567
646.1,0.96185
646.25,0.96691
646.4,0.97059
646.55,0.97373
646.7,0.97627
646.85,0.97834
647.0,0.97987
647.15,0.98104
647.3,0.98216
647.45,0.98288
647.6,0.98367
647.75,0.98421
647.9,0.98478
648.05,0.98516
648.2,0.98545
648.35,0.98574
648.5,0.98603
648.65,0.98629
648.8,0.98653
648.95,0.98678
649.1,0.98702
649.25,0.98726
649.4,0.9875
649.55,0.98773
649.7,0.98797
649.85,0.98821
650.0,0.98848
650.15,0.98877
650.3,0.9891
650.45,0.98943
650.6,0.98975
650.75,0.99018
650.9,0.99061
651.05,0.99108
651.2,0.99151
651.35,0.99197
651.5,0.99251
651.65,0.99308
651.8,0.99365
651.95,0.9942
652.1,0.99481
652.25,0.99546
652.4,0.99613
652.55,0.9968
652.7,0.99739
652.85,0.99794
653.0,0.99853
653.15,0.99908
653.3,0.99962
653.45,0.99999
653.6,1.0
653.75,0.99994
653.9,0.99976
654.05,0.99949
654.2,0.99903
654.35,0.99837
654.5,0.99716
654.65,0.99542
654.8,0.99308
654.95,0.99027
655.1,0.98646
655.25,0.98035
655.4,0.97233
655.55,0.96236
655.7,0.94871
655.85,0.93057
656.0,0.90786
656.15,0.87969
656.3,0.84487
656.45,0.80251
656.6,0.75303
656.75,0.69758
656.9,0.63664
657.05,0.57118
657.2,0.5031
657.35,0.43478
657.5,0.36738
657.65,0.30417
657.8,0.24666
657.95,0.19636
658.1,0.15372
658.25,0.11802
658.4,0.088971
658.55,0.065687
658.7,0.047742
658.85,0.034374
659.0,0.024698
659.15,0.017667
659.3,0.012632
659.45,0.008989
659.6,0.006443
659.75,0.004582
659.9,0.003317
660.05,0.00233
660.2,0.001717
660.35,0.001244
660.5,0.000931
660.65,0.000658
660.8,0.000472
660.95,0.000344
661.1,0.00024
661.25,0.000166
661.4,9.9e-05
661.55,6.2e-05
661.7,3.5e-05
661.85,1.5e-05
662.0,9e-06
662.15,6e-06
662.3,4e-06
662.45,3e-06
662.6,1e-06
662.75,1e-06
662.9,0.0
